country,season,gender,age_group,registered_players,metric_name,source_report,source_file,source_page,quality_flag,notes
Italy,2017-18,female,professionistica,0,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,male,professionistica,12125,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,total,professionistica,12125,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,female,sgs,12017,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,male,sgs,668514,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,total,sgs,680531,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,female,total,25896,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,male,total,1031794,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2017-18,total,total,1057690,tesserati,ReportCalcio 2019,Report_Calcio_2019_ITA_BASSA.pdf,41,confirmed,
Italy,2018-19,female,dilettantistica,13252,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,male,dilettantistica,347294,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,total,dilettantistica,360546,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,female,professionistica,0,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,male,professionistica,12341,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,total,professionistica,12341,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,female,sgs,14392,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,male,sgs,675513,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,total,sgs,689905,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,female,total,27644,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,male,total,1035148,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2018-19,total,total,1062792,tesserati,ReportCalcio 2020,Report_Calcio_2020_ITA_ALTA.pdf,40,confirmed,
Italy,2019-20,female,dilettantistica,14154,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,male,dilettantistica,345576,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,total,dilettantistica,359730,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,female,professionistica,0,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,male,professionistica,12755,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,total,professionistica,12755,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,female,sgs,17236,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,male,sgs,636767,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,total,sgs,654003,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,female,total,31390,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,male,total,995098,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2019-20,total,total,1026488,tesserati,ReportCalcio 2021,Report_Calcio_2021_ITA_ALTA.pdf,41,confirmed,
Italy,2020-21,female,dilettantistica,12883,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,male,dilettantistica,324082,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,total,dilettantistica,336965,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,female,professionistica,0,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,male,professionistica,13289,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,total,professionistica,13289,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,female,sgs,14041,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,male,sgs,475759,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,total,sgs,489800,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,female,total,26924,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,male,total,813130,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2020-21,total,total,840054,tesserati,ReportCalcio 2022,Report_Calcio_2022_ITA_BASSA.pdf,41,confirmed,
Italy,2021-22,female,dilettantistica,14420,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,male,dilettantistica,348382,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,total,dilettantistica,362802,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,female,professionistica,0,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,male,professionistica,13423,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,total,professionistica,13423,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,female,sgs,22132,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,male,sgs,650703,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
Italy,2021-22,total,sgs,672835,tesserati,ReportCalcio 2023,Report_Calcio_2023_ITA_ALTA.pdf,38,confirmed,
