country,season,sport,gender,age_group,registered_players,metric_name,source_name,source_url,source_file,quality_flag,age_label,notes
Spain,2014-15,football,female,profesional,48,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,profesional,
Spain,2014-15,football,male,aficionado,122042,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,aficionado,
Spain,2014-15,football,male,alevin,117995,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,alevin,
Spain,2014-15,football,male,benjamin,88300,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,benjamin,
Spain,2014-15,football,male,cadete,101485,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,cadete,
Spain,2014-15,football,male,debutante,4824,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,debutante,
Spain,2014-15,football,male,infantil,108139,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,infantil,
Spain,2014-15,football,male,juvenil,99018,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,juvenil,
Spain,2014-15,football,male,prebenjamin,56470,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,prebenjamin,
Spain,2014-15,football,male,profesional,2253,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,profesional,
Spain,2014-15,futsal,female,aficionado,4432,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,aficionado,
Spain,2014-15,futsal,female,alevin,572,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,alevin,
Spain,2014-15,futsal,female,benjamin,227,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,benjamin,
Spain,2014-15,futsal,female,cadete,1563,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,cadete,
Spain,2014-15,futsal,female,debutante,1,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,debutante,
Spain,2014-15,futsal,female,infantil,1277,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,infantil,
Spain,2014-15,futsal,female,juvenil,1595,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,juvenil,
Spain,2014-15,futsal,female,prebenjamin,146,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,prebenjamin,
Spain,2014-15,futsal,female,profesional,8,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,profesional,
Spain,2014-15,futsal,male,aficionado,20716,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,aficionado,
Spain,2014-15,futsal,male,alevin,12623,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,alevin,
Spain,2014-15,futsal,male,benjamin,13629,licencias,RFEF Memoria de Actividades,https://www.rfef.es/es/rfef/publicaciones,licencias_2014-2015.pdf,confirmed,benjamin,
