country_code,country_name,indicator_code,indicator_name,year,value
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2020,1476107292151.95
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2019,1873288158838.63
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2018,1916933708352.71
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2017,2063514688805.78
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2016,1795693265999.04
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2015,1802211999456.42
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2014,2456043766032.38
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2013,2472819362043.74
BRA,Brazil,NY.GDP.MKTP.CD,gdp_usd,2012,2465228293706.86
DEU,Germany,NY.GDP.MKTP.CD,gdp_usd,2023,4562207532490.28
DEU,Germany,NY.GDP.MKTP.CD,gdp_usd,2022,4201021706478.62
DEU,Germany,NY.GDP.MKTP.CD,gdp_usd,2021,4355251953410.78
