Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation,season,City,GAv
18,Bari,34,6,10,18,20,43,-23,22,Relegation to Serie B,1963/64,Bari,0.465
1,Inter Milan,34,22,10,2,68,29,39,54,Qualification to European Cup,1964/65,Milano,2.345
2,Milan,34,21,9,4,52,23,29,51,Chosen for Inter-Cities Fairs Cup,1964/65,Milano,2.261
3,Torino,34,16,12,6,48,27,21,44,Chosen for Inter-Cities Fairs Cup,1964/65,Torino,1.778
4,Fiorentina,34,16,9,9,52,37,15,41,Chosen for Inter-Cities Fairs Cup,1964/65,Firenze,1.405
4,Juventus,34,15,11,8,43,24,19,41,Qualification to Cup Winners' Cup,1964/65,Torino,1.792
6,Bologna,34,11,12,11,43,42,1,34,,1964/65,Bologna,1.024
6,Cagliari,34,13,8,13,33,35,-2,34,,1964/65,Cagliari,0.943
8,Catania,34,12,8,14,46,51,-5,32,,1964/65,Catania,0.902
9,Foggia,34,10,11,13,26,30,-4,31,,1964/65,Foggia,0.867
9,Roma,34,8,15,11,29,35,-6,31,Chosen for Inter-Cities Fairs Cup,1964/65,Roma,0.829
11,Varese,34,8,14,12,28,37,-9,30,,1964/65,Varese,0.757
11,Vicenza,34,10,10,14,33,44,-11,30,,1964/65,Vicenza,0.75
11,Atalanta,34,7,16,11,19,28,-9,30,,1964/65,Bergamo,0.679
14,Lazio,34,8,13,13,25,38,-13,29,,1964/65,Roma,0.658
14,Sampdoria,34,9,11,14,19,30,-11,29,,1964/65,Genova,0.633
16,Genoa,34,8,12,14,30,46,-16,28,Relegation to Serie B,1964/65,Genova,0.652
17,Messina,34,7,8,19,26,44,-18,22,Relegation to Serie B,1964/65,Messina,0.591
18,Mantova,34,7,7,20,20,40,-20,21,Relegation to Serie B,1964/65,Mantova,0.5
1,Inter Milan,34,20,10,4,70,28,42,50,Qualification to European Cup,1965/66,Milano,2.5
2,Bologna,34,19,8,7,60,37,23,46,Chosen for Inter-Cities Fairs Cup,1965/66,Bologna,1.622
3,Napoli,34,17,11,6,44,27,17,45,Chosen for Inter-Cities Fairs Cup,1965/66,Napoli,1.63
4,Fiorentina,34,16,11,7,45,22,23,43,Qualification to Cup Winners' Cup,1965/66,Firenze,2.045
5,Juventus,34,13,16,5,38,23,15,42,Chosen for Inter-Cities Fairs Cup,1965/66,Torino,1.652
6,Vicenza,34,13,14,7,44,34,10,40,,1965/66,Vicenza,1.294
7,Milan,34,13,12,9,43,33,10,38,,1965/66,Milano,1.303
8,Roma,34,13,10,11,28,31,-3,36,,1965/66,Roma,0.903
9,Brescia,34,12,8,14,43,44,-1,32,,1965/66,Brescia,0.977
10,Torino,34,9,13,12,31,34,-3,31,,1965/66,Torino,0.912
11,Cagliari,34,10,10,14,36,37,-1,30,,1965/66,Cagliari,0.973
12,Foggia,34,8,13,13,22,30,-8,29,,1965/66,Foggia,0.733
12,Lazio,34,8,13,13,28,41,-13,29,,1965/66,Roma,0.683
12,Atalanta,34,9,11,14,24,37,-13,29,,1965/66,Bergamo,0.649
15,SPAL,34,9,10,15,38,45,-7,28,,1965/66,Ferrara,0.844
16,Sampdoria,34,9,9,16,27,47,-20,27,Relegation to Serie B,1965/66,Genova,0.574
17,Catania,34,5,12,17,24,56,-32,22,Relegation to Serie B,1965/66,Catania,0.429
18,Varese,34,2,11,21,23,62,-39,15,Relegation to Serie B,1965/66,Varese,0.371
1,Juventus,34,18,13,3,44,19,25,49,Qualification to European Cup,1966/67,Torino,2.316
2,Inter Milan,34,19,10,5,59,22,37,48,,1966/67,Milano,2.682
3,Bologna,34,18,9,7,48,27,21,45,Chosen for Inter-Cities Fairs Cup,1966/67,Bologna,1.778
4,Napoli,34,17,10,7,46,23,23,44,Chosen for Inter-Cities Fairs Cup,1966/67,Napoli,2.0
5,Fiorentina,34,15,13,6,53,29,24,43,Chosen for Inter-Cities Fairs Cup,1966/67,Firenze,1.828
6,Cagliari,34,13,14,7,35,17,18,40,,1966/67,Cagliari,2.059
7,Torino,34,10,18,6,33,26,7,38,,1966/67,Torino,1.269
8,Milan,34,11,15,8,36,32,4,37,Qualification to Cup Winners' Cup,1966/67,Milano,1.125
9,Mantova,34,6,22,6,22,23,-1,34,,1966/67,Mantova,0.957
10,Roma,34,11,11,12,35,39,-4,33,,1966/67,Roma,0.897
11,Atalanta,34,9,13,12,28,43,-15,31,,1966/67,Bergamo,0.651
12,SPAL,34,8,13,13,28,36,-8,29,,1966/67,Ferrara,0.778
13,Vicenza,34,7,14,13,26,39,-13,28,,1966/67,Vicenza,0.667
13,Brescia,34,7,14,13,22,40,-18,28,,1966/67,Brescia,0.55
15,Lazio,34,6,15,13,20,35,-15,27,Relegation to Serie B,1966/67,Roma,0.571
16,Foggia,34,7,10,17,28,49,-21,24,Relegation to Serie B,1966/67,Foggia,0.571
17,Venezia,34,4,9,21,29,57,-28,17,Relegation to Serie B,1966/67,Venezia,0.509
17,Lecco,34,3,11,20,21,57,-36,17,Relegation to Serie B,1966/67,Lecco,0.368
1,Milan,30,18,10,2,53,24,29,46,Qualification to European Cup,1967/68,Milano,2.208
2,Napoli,30,13,11,6,34,24,10,37,Qualified to Inter-Cities Fairs Cup,1967/68,Napoli,1.417
3,Juventus,30,13,10,7,33,29,4,36,Qualified to Inter-Cities Fairs Cup,1967/68,Torino,1.138
4,Fiorentina,30,13,9,8,35,23,12,35,Qualified to Inter-Cities Fairs Cup,1967/68,Firenze,1.522
5,Inter Milan,30,13,7,10,46,34,12,33,,1967/68,Milano,1.353
5,Bologna,30,11,11,8,30,23,7,33,Qualified to Inter-Cities Fairs Cup,1967/68,Bologna,1.304
7,Torino,30,12,8,10,44,31,13,32,Qualification to Cup Winners' Cup,1967/68,Torino,1.419
7,Varese,30,12,8,10,28,27,1,32,,1967/68,Varese,1.037
9,Cagliari,30,12,7,11,44,38,6,31,,1967/68,Cagliari,1.158
10,Sampdoria,30,6,15,9,27,34,-7,27,,1967/68,Genova,0.794
10,Roma,30,7,13,10,25,35,-10,27,,1967/68,Roma,0.714
12,Vicenza,30,8,9,13,22,30,-8,25,,1967/68,Vicenza,0.733
12,Atalanta,30,10,5,15,26,42,-16,25,,1967/68,Bergamo,0.619
14,SPAL,30,10,2,18,24,38,-14,22,Relegation to Serie B,1967/68,Ferrara,0.632
14,Brescia,30,8,6,16,20,35,-15,22,Relegation to Serie B,1967/68,Brescia,0.571
16,Mantova,30,3,11,16,13,37,-24,17,Relegation to Serie B,1967/68,Mantova,0.351
1,Fiorentina,30,16,13,1,38,18,20,45,Qualification to European Cup,1968/69,Firenze,2.111
2,Cagliari,30,14,13,3,41,18,23,41,Qualified to Inter-Cities Fairs Cup,1968/69,Cagliari,2.278
3,Milan,30,14,13,3,31,12,19,41,Qualification to European Cup[a],1968/69,Milano,2.583
4,Inter Milan,30,14,8,8,55,26,29,36,Qualified to Inter-Cities Fairs Cup,1968/69,Milano,2.115
5,Juventus,30,12,11,7,32,24,8,35,Qualified to Inter-Cities Fairs Cup,1968/69,Torino,1.333
6,Torino,30,11,11,8,33,24,9,33,[b],1968/69,Torino,1.375
7,Napoli,30,10,12,8,26,25,1,32,Qualified to Inter-Cities Fairs Cup,1968/69,Napoli,1.04
8,Roma,30,10,10,10,35,35,0,30,Qualification to Cup Winners' Cup,1968/69,Roma,1.0
9,Bologna,30,10,9,11,27,36,-9,29,,1968/69,Bologna,0.75
10,Hellas Verona,30,9,8,13,40,49,-9,26,,1968/69,Verona,0.816
11,Palermo,30,7,11,12,21,32,-11,25,,1968/69,Palermo,0.656
12,Sampdoria,30,5,13,12,21,27,-6,23,,1968/69,Genova,0.778
13,Vicenza,30,8,7,15,26,39,-13,23,,1968/69,Vicenza,0.667
14,Varese,30,5,12,13,20,43,-23,22,Relegation to Serie B,1968/69,Varese,0.465
15,Pisa,30,6,8,16,26,44,-18,20,Relegation to Serie B,1968/69,Pisa,0.591
16,Atalanta,30,4,11,15,25,45,-20,19,Relegation to Serie B,1968/69,Bergamo,0.556
1,Cagliari,30,17,11,2,42,11,31,45,Qualification to European Cup,1969/70,Cagliari,3.818
2,Inter Milan,30,16,9,5,41,19,22,41,Qualified to Inter-Cities Fairs Cup,1969/70,Milano,2.158
3,Juventus,30,15,8,7,43,20,23,38,Qualified to Inter-Cities Fairs Cup,1969/70,Torino,2.15
4,Milan,30,13,10,7,38,24,14,36,[a],1969/70,Milano,1.583
4,Fiorentina,30,15,6,9,40,33,7,36,Qualified to Inter-Cities Fairs Cup,1969/70,Firenze,1.212
6,Napoli,30,10,11,9,24,21,3,31,,1969/70,Napoli,1.143
7,Torino,30,11,8,11,20,31,-11,30,,1969/70,Torino,0.645
8,Lazio,30,11,7,12,33,32,1,29,Qualified to Inter-Cities Fairs Cup,1969/70,Roma,1.031
8,Vicenza,30,11,7,12,32,31,1,29,,1969/70,Vicenza,1.032
10,Bologna,30,6,16,8,22,24,-2,28,Qualification to Cup Winners' Cup,1969/70,Bologna,0.917
11,Roma,30,8,12,10,27,36,-9,28,,1969/70,Roma,0.75
12,Hellas Verona,30,8,10,12,26,30,-4,26,,1969/70,Verona,0.867
13,Sampdoria,30,6,12,12,22,37,-15,24,,1969/70,Genova,0.595
14,Brescia,30,5,10,15,20,35,-15,20,Relegation to Serie B,1969/70,Brescia,0.571
15,Palermo,30,5,10,15,23,45,-22,20,Relegation to Serie B,1969/70,Palermo,0.511
16,Bari,30,5,9,16,11,35,-24,19,Relegation to Serie B,1969/70,Bari,0.314
1,Inter Milan,30,19,8,3,50,26,24,46,Qualification to European Cup,1970/71,Milano,1.923
2,Milan,30,15,12,3,54,26,28,42,Qualification to UEFA Cup,1970/71,Milano,2.077
3,Napoli,30,15,9,6,33,19,14,39,Qualification to UEFA Cup,1970/71,Napoli,1.737
4,Juventus,30,11,13,6,41,30,11,35,Qualification to UEFA Cup,1970/71,Torino,1.367
5,Bologna,30,10,14,6,30,24,6,34,Qualification to UEFA Cup,1970/71,Bologna,1.25
6,Roma,30,7,18,5,32,25,7,32,,1970/71,Roma,1.28
7,Cagliari,30,8,14,8,33,35,-2,30,,1970/71,Cagliari,0.943
8,Torino,30,6,14,10,27,30,-3,26,Qualification to Cup Winners' Cup,1970/71,Torino,0.9
9,Varese,30,5,16,9,29,33,-4,26,,1970/71,Varese,0.879
10,Vicenza,30,6,14,10,23,31,-8,26,,1970/71,Vicenza,0.742
11,Hellas Verona,30,7,12,11,23,35,-12,26,,1970/71,Verona,0.657
12,Sampdoria,30,6,13,11,30,34,-4,25,,1970/71,Genova,0.882
13,Fiorentina,30,3,19,8,26,32,-6,25,,1970/71,Firenze,0.812
14,Foggia,30,6,13,11,28,43,-15,25,Relegation to Serie B,1970/71,Foggia,0.651
15,Lazio,30,5,12,13,28,43,-15,22,Relegation to Serie B,1970/71,Roma,0.651
16,Catania,30,5,11,14,18,39,-21,21,Relegation to Serie B,1970/71,Catania,0.462
1,Juventus,30,17,9,4,48,24,24,43,Qualification to European Cup,1971/72,Torino,2.0
2,Milan,30,16,10,4,36,17,19,42,Qualification to Cup Winners' Cup,1971/72,Milano,2.118
3,Torino,30,17,8,5,39,25,14,42,Qualification to UEFA Cup,1971/72,Torino,1.56
4,Cagliari,30,15,9,6,39,23,16,39,Qualification to UEFA Cup,1971/72,Cagliari,1.696
5,Inter Milan,30,13,10,7,49,28,21,36,Qualification to UEFA Cup,1971/72,Milano,1.75
6,Fiorentina,30,12,12,6,28,20,8,36,Qualification to UEFA Cup,1971/72,Firenze,1.4
7,Roma,30,13,9,8,37,31,6,35,,1971/72,Roma,1.194
8,Napoli,30,6,16,8,27,31,-4,28,,1971/72,Napoli,0.871
9,Sampdoria,30,8,12,10,23,28,-5,28,,1971/72,Genova,0.821
10,Atalanta,30,9,8,13,21,26,-5,26,,1971/72,Bergamo,0.808
11,Bologna,30,7,11,12,28,36,-8,25,,1971/72,Bologna,0.778
12,Vicenza,30,8,7,15,30,43,-13,23,,1971/72,Vicenza,0.698
13,Hellas Verona,30,4,14,12,21,36,-15,22,,1971/72,Verona,0.583
14,Mantova,30,6,9,15,23,39,-16,21,Relegation to Serie B,1971/72,Mantova,0.59
15,Catanzaro,30,3,15,12,17,34,-17,21,Relegation to Serie B,1971/72,Catanzaro,0.5
16,Varese,30,1,11,18,17,42,-25,13,Relegation to Serie B,1971/72,Varese,0.405
1,Juventus,30,18,9,3,45,22,23,45,Qualification to European Cup,1972/73,Torino,2.045
2,Milan,30,18,8,4,65,33,32,44,Qualification to Cup Winners' Cup,1972/73,Milano,1.97
3,Lazio,30,16,11,3,33,16,17,43,Qualification to UEFA Cup,1972/73,Roma,2.062
4,Fiorentina,30,16,5,9,39,26,13,37,Qualification to UEFA Cup,1972/73,Firenze,1.5
5,Inter Milan,30,15,7,8,32,23,9,37,Qualification to UEFA Cup,1972/73,Milano,1.391
6,Torino,30,11,9,10,33,21,12,31,Qualification to UEFA Cup,1972/73,Torino,1.571
7,Bologna,30,11,9,10,33,31,2,31,,1972/73,Bologna,1.065
8,Cagliari,30,9,11,10,26,28,-2,29,,1972/73,Cagliari,0.929
9,Napoli,30,7,14,9,18,20,-2,28,,1972/73,Napoli,0.9
10,Hellas Verona,30,5,16,9,28,34,-6,26,,1972/73,Verona,0.824
11,Roma,30,6,12,12,23,28,-5,24,,1972/73,Roma,0.821
12,Sampdoria,30,5,14,11,16,25,-9,24,,1972/73,Genova,0.64
13,Vicenza,30,7,10,13,15,31,-16,24,,1972/73,Vicenza,0.484
14,Atalanta,30,5,14,11,16,33,-17,24,Relegation to Serie B,1972/73,Bergamo,0.485
15,Palermo,30,3,11,16,13,41,-28,17,Relegation to Serie B,1972/73,Palermo,0.317
16,Ternana,30,3,10,17,14,37,-23,16,Relegation to Serie B,1972/73,Terni,0.378
1,Lazio,30,18,7,5,45,23,22,43,Disqualified from the European Cup,1973/74,Roma,1.957
2,Juventus,30,16,9,5,50,26,24,41,Qualification to UEFA Cup,1973/74,Torino,1.923
3,Napoli,30,12,12,6,35,28,7,36,Qualification to UEFA Cup,1973/74,Napoli,1.25
4,Inter Milan,30,12,11,7,47,33,14,35,Qualification to UEFA Cup,1973/74,Milano,1.424
5,Torino,30,10,14,6,27,24,3,34,Qualification to UEFA Cup,1973/74,Torino,1.125
6,Fiorentina,30,10,13,7,32,26,6,33,,1973/74,Firenze,1.231
7,Milan,30,11,8,11,34,36,-2,30,,1973/74,Milano,0.944
8,Roma,30,10,9,11,29,28,1,29,,1973/74,Roma,1.036
9,Bologna,30,6,17,7,35,36,-1,29,Qualification to Cup Winners' Cup,1973/74,Bologna,0.972
10,Cagliari,30,7,14,9,25,32,-7,28,,1973/74,Cagliari,0.781
11,Cesena,30,6,15,9,25,28,-3,27,,1973/74,Cesena,0.893
12,Vicenza,30,7,12,11,22,37,-15,26,,1973/74,Vicenza,0.595
13,Sampdoria,30,5,13,12,27,34,-7,20,,1973/74,Genova,0.794
14,Foggia,30,6,12,12,20,34,-14,18,Relegation to Serie B,1973/74,Foggia,0.588
15,Genoa,30,4,9,17,16,37,-21,17,Relegation to Serie B,1973/74,Genova,0.432
16,Hellas Verona,30,8,9,13,28,35,-7,25,Relegation to Serie B,1973/74,Verona,0.8
1,Juventus,30,18,7,5,49,19,30,43,Qualification to European Cup,1974/75,Torino,2.579
2,Napoli,30,14,13,3,50,22,28,41,Qualification to UEFA Cup,1974/75,Napoli,2.273
3,Roma,30,15,9,6,27,15,12,39,Qualification to UEFA Cup,1974/75,Roma,1.8
4,Lazio,30,14,9,7,34,28,6,37,Qualification to UEFA Cup,1974/75,Roma,1.214
5,Milan,30,12,12,6,37,22,15,36,Qualification to UEFA Cup,1974/75,Milano,1.682
6,Torino,30,11,13,6,40,30,10,35,,1974/75,Torino,1.333
7,Bologna,30,10,12,8,36,33,3,32,,1974/75,Bologna,1.091
8,Fiorentina,30,9,13,8,31,27,4,31,Qualification to Cup Winners' Cup,1974/75,Firenze,1.148
9,Inter Milan,30,10,10,10,26,26,0,30,,1974/75,Milano,1.0
10,Cagliari,30,6,14,10,22,30,-8,26,,1974/75,Cagliari,0.733
11,Cesena,30,5,15,10,23,35,-12,25,,1974/75,Cesena,0.657
12,Ascoli,30,6,12,12,14,27,-13,24,,1974/75,Ascoli Piceno,0.519
13,Sampdoria,30,4,16,10,21,35,-14,24,,1974/75,Genova,0.6
14,Vicenza,30,5,11,14,19,34,-15,21,Relegation to Serie B,1974/75,Vicenza,0.559
15,Ternana,30,4,11,15,19,42,-23,19,Relegation to Serie B,1974/75,Terni,0.452
16,Varese,30,3,11,16,19,42,-23,17,Relegation to Serie B,1974/75,Varese,0.452
1,Torino,30,18,9,3,49,22,27,45,Qualification to European Cup,1975/76,Torino,2.227
2,Juventus,30,18,7,5,46,26,20,43,Qualification to UEFA Cup,1975/76,Torino,1.769
3,Milan,30,15,8,7,42,28,14,38,Qualification to UEFA Cup,1975/76,Milano,1.5
4,Inter Milan,30,14,9,7,36,28,8,37,Qualification to UEFA Cup,1975/76,Milano,1.286
5,Napoli,30,13,10,7,40,27,13,36,Qualification to Cup Winners' Cup,1975/76,Napoli,1.481
6,Cesena,30,9,14,7,39,35,4,32,Qualification to UEFA Cup,1975/76,Cesena,1.114
7,Bologna,30,9,14,7,32,32,0,32,,1975/76,Bologna,1.0
8,Perugia,30,10,11,9,31,34,-3,31,,1975/76,Perugia,0.912
9,Fiorentina,30,9,9,12,39,39,0,27,,1975/76,Firenze,1.0
10,Roma,30,6,13,11,25,31,-6,25,,1975/76,Roma,0.806
11,Hellas Verona,30,8,8,14,35,46,-11,24,,1975/76,Verona,0.761
12,Sampdoria,30,8,8,14,21,32,-11,24,,1975/76,Genova,0.656
13,Lazio,30,6,11,13,35,40,-5,23,,1975/76,Roma,0.875
14,Ascoli,30,4,15,11,19,34,-15,23,Relegation to Serie B,1975/76,Ascoli Piceno,0.559
15,Como,30,5,11,14,28,36,-8,21,Relegation to Serie B,1975/76,Como,0.778
16,Cagliari,30,5,9,16,25,52,-27,19,Relegation to Serie B,1975/76,Cagliari,0.481
1,Juventus,30,23,5,2,50,20,30,51,Qualification to European Cup,1976/77,Torino,2.5
2,Torino,30,21,8,1,51,14,37,50,Qualification to UEFA Cup,1976/77,Torino,3.643
3,Fiorentina,30,12,11,7,38,31,7,35,Qualification to UEFA Cup,1976/77,Firenze,1.226
4,Inter Milan,30,10,13,7,34,27,7,33,Qualification to UEFA Cup,1976/77,Milano,1.259
5,Lazio,30,10,11,9,34,28,6,31,Qualification to UEFA Cup,1976/77,Roma,1.214
6,Perugia,30,9,11,10,32,28,4,29,,1976/77,Perugia,1.143
7,Napoli,30,9,11,10,37,38,-1,28,,1976/77,Napoli,0.974
8,Roma,30,9,10,11,27,33,-6,28,,1976/77,Roma,0.818
9,Hellas Verona,30,7,14,9,26,32,-6,28,,1976/77,Verona,0.812
10,Milan,30,5,17,8,30,33,-3,27,Qualification to Cup Winners' Cup,1976/77,Milano,0.909
11,Genoa,30,8,11,11,40,45,-5,27,,1976/77,Genova,0.889
12,Bologna,30,8,11,11,24,31,-7,27,,1976/77,Bologna,0.774
13,Foggia,30,10,6,14,33,39,-6,26,,1976/77,Foggia,0.846
14,Sampdoria,30,6,12,12,28,42,-14,24,Relegation to Serie B,1976/77,Genova,0.667
15,Catanzaro,30,7,7,16,26,43,-17,21,Relegation to Serie B,1976/77,Catanzaro,0.605
16,Cesena,30,3,8,19,22,48,-26,14,Relegation to Serie B,1976/77,Cesena,0.458
1,Juventus,30,15,14,1,46,17,29,44,Qualification to European Cup,1977/78,Torino,2.706
2,Vicenza,30,14,11,5,50,34,16,39,Qualification to UEFA Cup,1977/78,Vicenza,1.471
3,Torino,30,14,11,5,36,23,13,39,Qualification to UEFA Cup,1977/78,Torino,1.565
4,Milan,30,12,13,5,38,25,13,37,Qualification to UEFA Cup,1977/78,Milano,1.52
5,Inter Milan,30,13,10,7,35,24,11,36,Qualification to Cup Winners' Cup,1977/78,Milano,1.458
6,Napoli,30,8,14,8,35,31,4,30,Qualification to UEFA Cup,1977/78,Napoli,1.129
7,Perugia,30,10,10,10,36,35,1,30,,1977/78,Perugia,1.029
8,Roma,30,8,12,10,31,34,-3,28,,1977/78,Roma,0.912
9,Atalanta,30,6,15,9,28,32,-4,27,,1977/78,Bergamo,0.875
10,Hellas Verona,30,6,14,10,25,30,-5,26,,1977/78,Verona,0.833
11,Lazio,30,8,10,12,31,38,-7,26,,1977/78,Roma,0.816
12,Bologna,30,7,12,11,21,32,-11,26,,1977/78,Bologna,0.656
13,Fiorentina,30,7,11,12,28,37,-9,25,,1977/78,Firenze,0.757
14,Genoa,30,5,15,10,23,33,-10,25,Relegation to Serie B,1977/78,Genova,0.697
15,Foggia,30,8,9,13,28,43,-15,25,Relegation to Serie B,1977/78,Foggia,0.651
16,Pescara,30,4,9,17,21,44,-23,17,Relegation to Serie B,1977/78,Pescara,0.477
1,Milan,30,17,10,3,46,19,27,44,Qualification to European Cup,1978/79,Milano,2.421
2,Perugia,30,11,19,0,34,16,18,41,Qualification to UEFA Cup,1978/79,Perugia,2.125
3,Juventus,30,12,13,5,40,23,17,37,Qualification to Cup Winners' Cup,1978/79,Torino,1.739
4,Inter Milan,30,10,16,4,38,24,14,36,Qualification to UEFA Cup,1978/79,Milano,1.583
5,Torino,30,11,14,5,35,23,12,36,Qualification to UEFA Cup,1978/79,Torino,1.522
6,Napoli,30,9,14,7,23,21,2,32,Qualification to UEFA Cup,1978/79,Napoli,1.095
7,Fiorentina,30,10,12,8,26,26,0,32,,1978/79,Firenze,1.0
8,Lazio,30,9,11,10,35,40,-5,29,,1978/79,Roma,0.875
9,Catanzaro,30,6,16,8,23,30,-7,28,,1978/79,Catanzaro,0.767
10,Ascoli,30,7,12,11,26,31,-5,26,,1978/79,Ascoli Piceno,0.839
11,Avellino,30,6,14,10,19,26,-7,26,,1978/79,Avellino,0.731
12,Roma,30,8,10,12,24,32,-8,26,,1978/79,Roma,0.75
13,Bologna,30,4,16,10,23,30,-7,24,,1978/79,Bologna,0.767
14,Vicenza,30,5,14,11,29,42,-13,24,Relegation to Serie B,1978/79,Vicenza,0.69
15,Atalanta,30,6,12,12,20,33,-13,24,Relegation to Serie B,1978/79,Bergamo,0.606
16,Hellas Verona,30,2,11,17,14,39,-25,15,Relegation to Serie B,1978/79,Verona,0.359
1,Inter Milan,30,14,13,3,44,25,19,41,Qualification to European Cup,1979/80,Milano,1.76
2,Juventus,30,16,6,8,42,25,17,38,Qualification to UEFA Cup,1979/80,Torino,1.68
3,Torino,30,11,13,6,26,15,11,35,Qualification to UEFA Cup,1979/80,Torino,1.733
4,Ascoli,30,11,12,7,35,28,7,34,,1979/80,Ascoli Piceno,1.25
5,Fiorentina,30,11,11,8,33,27,6,33,,1979/80,Firenze,1.222
6,Roma,30,10,12,8,34,35,-1,32,Qualification to Cup Winners' Cup,1979/80,Roma,0.971
7,Bologna,30,8,14,8,23,24,-1,30,,1979/80,Bologna,0.958
8,Cagliari,30,8,14,8,27,29,-2,30,,1979/80,Cagliari,0.931
9,Perugia,30,9,12,9,27,32,-5,30,,1979/80,Perugia,0.844
10,Napoli,30,7,14,9,20,20,0,28,,1979/80,Napoli,1.0
11,Avellino,30,7,13,10,24,32,-8,27,,1979/80,Avellino,0.75
12,Catanzaro,30,5,14,11,20,34,-14,24,,1979/80,Catanzaro,0.588
13,Udinese,30,3,15,12,24,38,-14,21,,1979/80,Udine,0.632
14,Pescara,30,4,8,18,18,44,-26,16,Relegation to Serie B,1979/80,Pescara,0.409
15,Milan,30,14,8,8,34,19,15,36,Relegation to Serie B,1979/80,Milano,1.789
16,Lazio,30,5,15,10,21,25,-4,25,Relegation to Serie B,1979/80,Roma,0.84
1,Juventus,30,17,10,3,46,15,31,44,Qualification to European Cup,1980/81,Torino,3.067
2,Roma,30,14,14,2,43,20,23,42,Qualification to Cup Winners' Cup,1980/81,Roma,2.15
3,Napoli,30,14,10,6,31,21,10,38,Qualification to UEFA Cup,1980/81,Napoli,1.476
4,Inter Milan,30,14,8,8,41,24,17,36,Qualification to UEFA Cup,1980/81,Milano,1.708
5,Fiorentina,30,9,14,7,28,25,3,32,,1980/81,Firenze,1.12
6,Cagliari,30,8,14,8,29,30,-1,30,,1980/81,Cagliari,0.967
7,Bologna,30,11,12,7,32,27,5,29,,1980/81,Bologna,1.185
8,Catanzaro,30,6,17,7,24,27,-3,29,,1980/81,Catanzaro,0.889
9,Torino,30,8,10,12,26,29,-3,26,,1980/81,Torino,0.897
10,Avellino,30,10,10,10,36,33,3,25[b],,1980/81,Avellino,1.091
11,Ascoli,30,7,11,12,18,34,-16,25[b],,1980/81,Ascoli Piceno,0.529
12,Udinese,30,6,13,11,24,39,-15,25[b],,1980/81,Udine,0.615
13,Como,30,8,9,13,25,33,-8,25[b],,1980/81,Como,0.758
14,Brescia,30,4,17,9,19,25,-6,25[b],Relegation to Serie B,1980/81,Brescia,0.76
15,Perugia,30,5,13,12,18,31,-13,18,Relegation to Serie B,1980/81,Perugia,0.581
16,Pistoiese,30,6,4,20,19,46,-27,16,Relegation to Serie B,1980/81,Pistoia,0.413
1,Juventus,30,19,8,3,48,14,34,46,Qualification to European Cup,1981/82,Torino,3.429
2,Fiorentina,30,17,11,2,36,17,19,45,Qualification to UEFA Cup,1981/82,Firenze,2.118
3,Roma,30,15,8,7,40,29,11,38,Qualification to UEFA Cup,1981/82,Roma,1.379
4,Napoli,30,10,15,5,31,21,10,35,Qualification to UEFA Cup,1981/82,Napoli,1.476
5,Inter Milan,30,11,13,6,39,34,5,35,Qualification to Cup Winners' Cup,1981/82,Milano,1.147
6,Ascoli,30,9,14,7,26,21,5,32,,1981/82,Ascoli Piceno,1.238
7,Catanzaro,30,9,10,11,25,29,-4,28,,1981/82,Catanzaro,0.862
8,Avellino,30,9,9,12,22,26,-4,27,,1981/82,Avellino,0.846
9,Torino,30,8,11,11,25,30,-5,27,,1981/82,Torino,0.833
10,Cesena,30,8,11,11,34,41,-7,27,,1981/82,Cesena,0.829
11,Udinese,30,9,8,13,27,37,-10,26,,1981/82,Udine,0.73
12,Cagliari,30,7,11,12,33,36,-3,25,,1981/82,Cagliari,0.917
13,Genoa,30,6,13,11,24,29,-5,25,,1981/82,Genova,0.828
14,Milan,30,7,10,13,21,31,-10,24,Relegation to Serie B,1981/82,Milano,0.677
15,Bologna,30,6,11,13,25,37,-12,23,Relegation to Serie B,1981/82,Bologna,0.676
16,Como,30,3,11,16,18,42,-24,17,Relegation to Serie B,1981/82,Como,0.429
1,Roma,30,16,11,3,47,24,23,43,Qualification to European Cup,1982/83,Roma,1.958
2,Juventus,30,15,9,6,49,26,23,39,Qualification to Cup Winners' Cup,1982/83,Torino,1.885
3,Inter Milan,30,12,14,4,40,23,17,38,Qualification to UEFA Cup,1982/83,Milano,1.739
4,Hellas Verona,30,11,13,6,37,31,6,35,Qualification to UEFA Cup,1982/83,Verona,1.194
5,Fiorentina,30,12,10,8,36,25,11,34,,1982/83,Firenze,1.44
6,Udinese,30,6,20,4,25,29,-4,32,,1982/83,Udine,0.862
7,Sampdoria,30,8,15,7,31,30,1,31,,1982/83,Genova,1.033
8,Torino,30,9,12,9,30,28,2,30,,1982/83,Torino,1.071
9,Avellino,30,8,12,10,29,34,-5,28,,1982/83,Avellino,0.853
10,Napoli,30,7,14,9,22,29,-7,28,,1982/83,Napoli,0.759
11,Pisa,30,8,11,11,27,27,0,27,,1982/83,Pisa,1.0
12,Genoa,30,6,15,9,34,38,-4,27,,1982/83,Genova,0.895
13,Ascoli,30,9,9,12,32,37,-5,27,,1982/83,Ascoli Piceno,0.865
14,Cagliari,30,6,14,10,23,33,-10,26,Relegation to Serie B,1982/83,Cagliari,0.697
